Data Set 2:Time(s),Data Set 2:Position(m),Data Set 2:Velocity(m/s),Data Set 2:Acceleration(m/s²)
65.043,-0.0221000015735626,-0.0930977640328694,1.20566085981547
65.076,-0.0245000123977661,-0.0505891913918192,1.31307732438101
65.109,-0.0254999995231628,-0.00538702063287552,1.3694751466598
65.142,-0.0248999893665314,0.0409933202194434,1.37152760596899
65.175,-0.0227999985218048,0.0874578752100234,1.28260551062072
65.208,-0.0189999938011169,0.128535284137079,1.08315109710617
65.241,-0.0142000019550323,0.163299542685544,0.752404199212852
65.274,-0.00760000944137573,0.179208790011672,0.381764906691632
65.307,-0.00209999084472656,0.184175066072926,0.0446389754852962
65.34,0.00439998507499695,0.188636383424298,-0.235306680578039
65.373,0.011000007390976,0.172811576011608,-0.628692257632366
65.406,0.0162000060081482,0.143602615855777,-0.927556698844149
65.439,0.0205999910831451,0.107912453336761,-1.11461130016348
65.472,0.0234000086784363,0.0682659823485102,-1.23067124570741
65.505,0.0250999927520752,0.0274410151471988,-1.34240812043689
65.538,0.0254999995231628,-0.0213804570111353,-1.30935472640677
65.571,0.0236999988555908,-0.0700337015819844,-1.28412984143401
65.604,0.0205999910831451,-0.110521812230244,-1.0982430860411
65.637,0.0162000060081482,-0.143097531715221,-0.859890812030521
65.67,0.011000007390976,-0.168266069608098,-0.580086960173442
65.703,0.0047999918460846,-0.182744153220237,-0.25911529091968
65.736,-0.00139999389648438,-0.185101070387993,0.0642643722982935
65.769,-0.00760000944137573,-0.178619642249664,0.393879944856089
65.802,-0.0135000050067902,-0.160269439220448,0.742640293117882
65.835,-0.0186000168323517,-0.127861947322951,1.03407906670935
65.868,-0.0221000015735626,-0.0884679933188348,1.21719441500228
65.901,-0.0245000123977661,-0.0456229404166881,1.32313633458636
65.934,-0.0252000093460083,0.000252542070266765,1.36309917309427
65.967,-0.0245000123977661,0.0463805666274878,1.32342013726858
66,-0.0221000015735626,0.0904041659149624,1.18815707598733
66.033,-0.0182999968528748,0.126851829214123,0.881136899536508
66.066,-0.0135000050067902,0.1549662062616,0.719052609650241
66.099,-0.00800001621246338,0.177525310002589,0.440191913926142
66.132,-0.00139999389648438,0.186868764535347,0.072059063647961
66.165,0.0047999918460846,0.180723917002651,-0.267617672975284
66.198,0.0106000006198883,0.16809771658999,-0.574630959187259
66.231,0.0162000060081482,0.144276002842169,-0.879304750506179
66.264,0.0205999910831451,0.105723763756476,-1.12453016801307
66.297,0.0230999886989594,0.0663299602691548,-1.25043743948059
66.33,0.0250999927520752,0.0228957094327359,-1.33539335855718
66.363,0.0248000025749207,-0.0251683622899672,-1.31612167828798
66.396,0.0230999886989594,-0.0650673753484708,-1.2490918557897
66.429,0.0205999910831451,-0.106312986776881,-1.18213477884504
66.462,0.0162000060081482,-0.148232185880739,-0.952356977839484
66.495,0.0103000104427338,-0.173905858086411,-0.572293768079589
66.528,0.00439998507499695,-0.186784625655474,-0.15609215100255
66.561,-0.00249999761581421,-0.183080859256535,0.224538959750083
66.594,-0.00800001621246338,-0.167676796415458,0.492001483036259
66.627,-0.0135000050067902,-0.150841620032636,0.703982482390925
